Disease,Symptoms
نزلات البرد,قشعريرة الشعور بالتعب الم في الصدر سيلان الأنف صداع صدئ البلغم تهيج الحلق فقدان حاسة الشم احتقان 
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الشعور بالتعب فقدان الشهية اصفرار العينين
الفشل الكلوي,تورم القدمين انخفاض اخراج البول ارتفاع معدل ضربات القلب
نزلات البرد,احمرار العين صداع الشعور بالتعب السعال احتقان الم في الصدر صدئ البلغم تهيج الحلق فقدان حاسة الشم
قرحة المعدة,فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم
الفشل الكلوي,تورم القدمين انخفاض اخراج البول الم فى الصدر
نزلات البرد,فقدان حاسة الشم الم في الصدر الشعور بالتعب صداع صدئ البلغم الم في الصدر سيلان الأنف احتقان 
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول ارتفاع معدل ضربات القلب
فيرس سي,صداع مزمن الم في البطن اصفرار الجلد الشعور بالغثيان الم في العضلات الم في المفاصل
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم القئ التجشؤ
الفشل الكلوي,تورم القدمين احتباس السوائل انخفاض اخراج البول القئ
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم القئ الانتفاخ
نزلات البرد,ضغط الجيوب الأنفية تهيج الحلق احمرار العين الشعور بالتعب صداع صدئ البلغم احتقان الم في الصدر الم عضلي فقدان حاسة الشم
فيرس سي,صداع مزمن الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في المفاصل
الفشل الكلوي,تورم القدمين احتباس السوائل ارتفاع معدل ضربات القلب
نزلات البرد,صداع صدئ البلغم الم في الصدر الشعور بالتعب فقدان حاسة الشم سيلان الأنف احتقان حمى شديدة 
الفشل الكلوي,تورم القدمين انخفاض اخراج البول ضيق التنفس القئ الم فى الصدر ارتفاع معدل ضربات القلب
فيرس سي,صداع مزمن الم في البطن اصفرار الجلد الشعور بالغثيان الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية القيء الدموي فقر الدم الغثيان القئ الانتفاخ التجشؤ
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
الفشل الكلوي,تورم القدمين انخفاض اخراج البول ضيق التنفس ارتفاع معدل ضربات القلب
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان الم في العضلات الم في المفاصل الشعور بالتعب صداع مزمن
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية القيء الدموي فقر الدم التجشؤ
الفشل الكلوي,انخفاض اخراج البول الخمول تورم القدمين احتباس السوائل 
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان صداع مزمن الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
فيرس سي, الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين صداع مزمن الم في البطن اصفرار الجلد الشعور بالغثيان 
الفشل الكلوي,انخفاض اخراج البول الخمول تورم القدمين احتباس السوائل الغثيان
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية القيء الدموي فقر الدم القئ
الفشل الكلوي,انخفاض اخراج البول احتباس السوائل تورم القدمين  الغثيان 
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في المفاصل
الالتهاب الرئوي,قشعريره السعال ارتفاع درجة الحرارة ضيق التنفس ارتفاع ضغط الدم التعرق صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان
الالتهاب الرئوي,الم في الصدر الخمول السعال ارتفاع ضغط الدم ضيق التنفس التعرق صدئ البلغم ارتفاع معدل ضربات القلب
نزلات البرد,تهيج الحلق الشعور بالتعب صداع فقدان حاسة الشم احتقان صدئ البلغم الم في الصدر احمرار العين
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم
الالتهاب الرئوي,ارتفاع درجة الحرارة صدئ البلغم ارتفاع ضغط الدم ارتفاع معدل ضربات القلب ضيق التنفس السعال الخمول الم في الصدر
الفشل الكلوي, ارتفاع معدل ضربات القلب انخفاض اخراج البول الم فى الصدر القئ ضيق التنفس الغثيان تورم القدمين
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الانتفاخ
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الشعور بالتعب فقدان الشهية اصفرار العينين
الالتهاب الرئوي, ارتفاع معدل ضربات القلب ارتفاع ضغط الدم الم في الصدر الخمول السعال ضيق التنفس صدئ البلغم
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي الغثيان الانتفاخ التجشؤ
الالتهاب الرئوي, ارتفاع معدل ضربات القلب الم في الصدر الشعور بالتعب السعال ضيق التنفس صدئ البلغم ارتفاع ضغط الدم
فيرس سي, فقدان الشهية اصفرار العينين الم في البطن اصفرار الجلد الشعور بالغثيان 
الالتهاب الرئوي,الخمول السعال ارتفاع درجة الحرارة ارتفاع ضغط الدم ضيق التنفس ارتفاع معدل ضربات القلب الم في الصدر
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي القئ الانتفاخ التجشؤ
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان ضيق التنفس
نزلات البرد,تهيج الحلق الشعور بالتعب صداع فقدان حاسة الشم احتقان صدئ البلغم الم في الصدر
الالتهاب الرئوي,ارتفاع ضغط الدم الم في الصدر الشعور بالتعب السعال ضيق التنفس التعرق صدئ البلغم ارتفاع معدل ضربات القلب
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم الانتفاخ
الالتهاب الرئوي, ارتفاع ضغط الدم ضيق التنفس الشعور بالتعب السعال ارتفاع درجة الحرارة قشعريره صدئ البلغم الم في الصدر الخمول
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول انخفاض اخراج البول ضيق التنفس القئ الم فى الصدر 
فيرس سي, اصفرار الجلد الشعور بالغثيان فقدان الشهية اصفرار العينين الم في البطن صداع مزمن
الفشل الكلوي,ضيق التنفس انخفاض اخراج البول القئ ارتفاع معدل ضربات القلب الخمول احتباس السوائل تورم القدمين الغثيان 
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الانتفاخ
الالتهاب الرئوي,الشعور بالتعب السعال ارتفاع ضغط الدم الم في الصدر ضيق التنفس ارتفاع معدل ضربات القلب التعرق قشعريره
الفشل الكلوي,تورم القدمين انخفاض اخراج البول ضيق التنفس انخفاض اخراج البول
الالتهاب الرئوي,ارتفاع ضغط الدم الخمول السعال ارتفاع درجة الحرارة ضيق التنفس ارتفاع معدل ضربات القلب الم في الصدر
